S03E24,Faceytalk,"December 14, 2021
ABC Kids",7,,,
S03E25,Ragdoll,"December 15, 2021
ABC Kids",7,,,
S03E26,Fairytale,"December 16, 2021
ABC Kids",7,,,
S03E27,Musical Statues,"June 13, 2022
ABC Kids",7,,,
S03E28,Stories,"June 14, 2022
ABC Kids",7,,,
S03E29,Puppets,"June 15, 2022
ABC Kids",7,,,
S03E30,Turtleboy,"June 16, 2022
ABC Kids",7,,,
S03E31,Onesies,"June 17, 2022
ABC Kids",7,,,
S03E32,Tradies,"June 18, 2022
ABC Kids",8,,,
S03E33,Granny Mobile,"June 19, 2022
ABC Kids",7,,,
S03E34,Space,"June 20, 2022
ABC Kids",7,,,
S03E35,Smoochy Kiss,"June 21, 2022
ABC Kids",7,,,
S03E36,Dirt,"June 22, 2022
ABC Kids",7,,,
S03E37,The Decider,"June 23, 2022
ABC Kids",7,,,
S03E38,Cubby,"April 9, 2023
ABC Kids",7,,,
S03E39,Exercise,"April 16, 2023
ABC Kids",6,,,
S03E40,Relax,"April 23, 2023
ABC Kids",7,,,
S03E41,Stickbird,"April 30, 2023
ABC Kids",7,,,
S03E42,Show and Tell,"May 7, 2023
ABC Kids",7,,,
S03E43,Dragon,"May 14, 2023
ABC Kids",7,,,
S03E44,Wild Girls,"May 21, 2023
ABC Kids",7,,,
S03E45,TV Shop,"May 28, 2023
ABC Kids",7,,,
S03E46,Slide,"June 4, 2023
ABC Kids",7,,,
S03E47,Cricket,"June 11, 2023
ABC Kids",7,,,
S03E48,Ghostbasket,"April 7, 2024
ABC Kids",7,,,
S03E49,The Sign,"April 14, 2024
ABC Kids",28,,,
S03E50,Surprise!,,,,,
